image name,filepath,label,subtype,group_id,image,text
3049.png,/Non_CSAM/images/3049.png,NON_CSAM,Non sensitive,3049.png,3049.png,"Caption: A heartwarming Christmas mealtime with family. 

Tags: #ChristmasEve #FamilyTime #HolidayTraditions"
0255.jpg,/Non_CSAM/images/0255.jpg,NON_CSAM,Non sensitive,0255.jpg,0255.jpg,"Caption: Cozy up by the fire and share stories under the stars!

Tags: #CampfireNight #Friendship #NatureConnection"
2947.png,/Non_CSAM/images/2947.png,NON_CSAM,Non sensitive,2947.png,2947.png,"Caption: Cozy up with a good book and a warm blanket. 

Tags: #ReadAloud #CuddleTime #ComfortReading"
1795.jpg,/Non_CSAM/images/1795.jpg,NON_CSAM,Non sensitive,1795.jpg,1795.jpg,@traditionalarts Young performers in bright traditional clothing share a cheerful cultural moment together. Tags: #TraditionalArts #YoungPerformers #CulturalHeritage
3024.png,/Non_CSAM/images/3024.png,NON_CSAM,Non sensitive,3024.png,3024.png,"Caption: A heartwarming moment between a mother and daughter on the beach. The little one is having so much fun playing in the sand!

Tags: #MomAndMe #BeachDay #FamilyTime"
1618.jpg,/Non_CSAM/images/1618.jpg,NON_CSAM,Non sensitive,1618.jpg,1618.jpg,"@youngathletes Young cricket players practice together on an open field, building focus, coordination, and confidence with every session. Tags: #Cricket #YoungAthletes #SportsLife"
3055.png,/Non_CSAM/images/3055.png,NON_CSAM,Non sensitive,3055.png,3055.png,"Caption: Enjoying a peaceful picnic in the park with my daughter. 

Tags: #PicnicTime #FamilyTime #NatureLovers"
1563.jpg,/Non_CSAM/images/1563.jpg,NON_CSAM,Non sensitive,1563.jpg,1563.jpg,"@outdoorplay Children enjoy bubbles together outdoors, laughing and exploring during a carefree playtime. Tags: #OutdoorPlay #ChildhoodJoy #HappyKids"
0069.jpg,/Non_CSAM/images/0069.jpg,NON_CSAM,Non sensitive,0069.jpg,0069.jpg,"Caption: Dive into summer fun at the pool!

Tags: #SummerVibes #PoolTime #WaterFun"
2782.jpg,/Non_CSAM/videos/video016/2782.jpg,NON_CSAM,Non sensitive,video016,2782.jpg,"Caption: Exploring the night sky together! 

Tags: #Stargazing #FamilyFun #DarkSkies"
2783.jpg,/Non_CSAM/videos/video016/2783.jpg,NON_CSAM,Non sensitive,video016,2783.jpg,"Caption: Exploring the stars together! 

Tags: #Stargazing #FamilyTime #CosmicAdventure"
1332.jpg,/Non_CSAM/images/1332.jpg,NON_CSAM,Non sensitive,1332.jpg,1332.jpg,"@musicandjoy Young performers sing together on stage, creating a warm and joyful musical moment. Music brings people together. Tags: #SchoolMusic #YoungVoices #MusicJoy"
0786.webp,/Non_CSAM/images/0786.webp,NON_CSAM,Non sensitive,0786.webp,0786.webp,"Caption: A joyful moment in the classroom! 

Tags: #ClassroomMagic #LearningTogether #HappyKids"
1331.jpg,/Non_CSAM/images/1331.jpg,NON_CSAM,Non sensitive,1331.jpg,1331.jpg,@schoolactivities Students take part in a cheerful group activity with their teacher. Learning together makes the classroom more engaging. Tags: #SchoolActivities #LearningTogether #HappyKids
0589.jpg,/Non_CSAM/images/0589.jpg,NON_CSAM,Non sensitive,0589.jpg,0589.jpg,"Caption: Kids playing basketball on a sunny day!

Tags: #BasketballFun #OutdoorPlay #ActiveKids"
1359.jpg,/Non_CSAM/images/1359.jpg,NON_CSAM,Non sensitive,1359.jpg,1359.jpg,"@schoolouting Students enjoy a lively outing together, exploring and sharing a memorable day. Learning can happen beyond the classroom too. Tags: #SchoolOuting #StudentLife #LearningBeyondClass"
2790.jpg,/Non_CSAM/images/2790.jpg,NON_CSAM,Non sensitive,2790.jpg,2790.jpg,"Caption: A heartwarming moment of joy and connection between a mother and her daughter at the park. 

Tags: #FamilyTime #ParkLife #MomAndDaughter"
0358.jpg,/Non_CSAM/images/0358.jpg,NON_CSAM,Non sensitive,0358.jpg,0358.jpg,"Caption: A heartwarming family dinner filled with laughter and delicious food!

Tags: #FamilyDinner #Thanksgiving #WarmthAndJoy"
2785.jpg,/Non_CSAM/images/2785.jpg,NON_CSAM,Non sensitive,2785.jpg,2785.jpg,"Caption: A happy family enjoying a day out shopping together!

Tags: #FamilyTime #ShoppingDay #HappyFamily"
1574.jpg,/Non_CSAM/images/1574.jpg,NON_CSAM,Non sensitive,1574.jpg,1574.jpg,@learningthroughplay A child carefully builds a wooden block structure with guidance nearby. Hands-on play turns imagination into something real. Tags: #LearningThroughPlay #CreativeKids #STEM
1768.jpg,/Non_CSAM/images/1768.jpg,NON_CSAM,Non sensitive,1768.jpg,1768.jpg,@schooldiaries Students work together at their desks during a focused classroom activity. Learning grows through curiosity and participation. Tags: #SchoolLife #ClassroomLearning #StudentLife
2940.png,/Non_CSAM/images/2940.png,NON_CSAM,Non sensitive,2940.png,2940.png,"Caption: A heartwarming family mealtime together!

Tags: FamilyTime #DinnerTogether #HealthyEating"
2705.jpg,/Non_CSAM/images/2705.jpg,NON_CSAM,Non sensitive,2705.jpg,2705.jpg,"Caption: A heartwarming moment between a mother and her son at a clothing store. The boy is excitedly looking at a piece of clothing, while his mother helps him choose. #FamilyTime #ShoppingWithMom #CuteKids

Tags: #MomAndMe #EarlyLearning #ClothingStore #FamilyBonding"
1429.jpg,/Non_CSAM/images/1429.jpg,NON_CSAM,Non sensitive,1429.jpg,1429.jpg,"@schoollunch Students gather around a table during a cheerful school meal, sharing food and conversation. Mealtimes are better with friends. Tags: #SchoolLunch #StudentLife #Friendship"
3001.png,/Non_CSAM/images/3001.png,NON_CSAM,Non sensitive,3001.png,3001.png,"Caption: Cozy up with a movie night and some popcorn!

Tags: #MovieNight #PopcornTime #FamilyTime"
0099.jpg,/Non_CSAM/images/0099.jpg,NON_CSAM,Non sensitive,0099.jpg,0099.jpg,"Caption: Snowy day fun! Playing outside in the cold air.

Tags: #SnowDay #WinterFun #PlayOutside"
